sku,type,sapo_available,sapo_remain
FM-ATBL01-DE-M-FM-QLTG01-DE-M,combo,6,0
FM-ATBL01-DE-M-FM-QLTG01-DE-S,combo,6,0
FM-ATBL01-DE-S-FM-QLTG01-DE-XL,combo,0,0
FM-ATBL01-DE-S-FM-QLTG01-DE-L,combo,2,0
FM-ATBL01-DE-S-FM-QLTG01-DE-M,combo,4,0
FM-ATBL01-DE-S-FM-QLTG01-DE-S,combo,4,0
FM-QSBL01-XA-XL,normal,70,0
FM-QSBL01-XA-L,normal,98,0
FM-QSBL01-XA-M,normal,96,0
FM-QSBL01-XA-S,normal,78,0
FM-HQFM02,normal,60,0
FM-ATSO01-DB-XL,normal,56,0
FM-ATSO01-DB-L,normal,104,0
FM-ATSO01-DB-M,normal,100,0
FM-ATSO01-DB-S,normal,90,0
FM-ATSO01-DO-XL,normal,68,0
FM-ATSO01-DO-L,normal,108,0
FM-ATSO01-DO-M,normal,109,0
FM-ATSO01-DO-S,normal,88,0
FM-BRSL01-XP-XL-FM-QNSL01-XG-XL,combo,44,0
FM-BRSL01-XP-XL-FM-QNSL01-XG-L,combo,58,0
FM-BRSL01-XP-XL-FM-QNSL01-XG-M,combo,92,0
FM-BRSL01-XP-XL-FM-QNSL01-XG-S,combo,91,0
FM-BRSL01-XP-L-FM-QNSL01-XG-XL,combo,44,0
FM-BRSL01-XP-L-FM-QNSL01-XG-L,combo,58,0
FM-BRSL01-XP-L-FM-QNSL01-XG-M,combo,92,0
FM-BRSL01-XP-L-FM-QNSL01-XG-S,combo,91,0
FM-BRSL01-XP-M-FM-QNSL01-XG-XL,combo,44,0
FM-BRSL01-XP-M-FM-QNSL01-XG-L,combo,58,0
FM-BRSL01-XP-M-FM-QNSL01-XG-M,combo,92,0
FM-BRSL01-XP-M-FM-QNSL01-XG-S,combo,91,0
FM-BRSL01-XP-S-FM-QNSL01-XG-XL,combo,44,0
FM-BRSL01-XP-S-FM-QNSL01-XG-L,combo,58,0
