sku,type,sapo_available,shopify_available,diff,sapo_remain,shopify_remain
FM-BRGL04-TR-S,normal,42,1,41,0,1
FM-BRGL04-DE-XL,normal,3,1,2,0,1
FM-BRGL04-DE-L,normal,77,1,76,0,1
FM-BRGL04-DE-M,normal,115,1,114,0,1
FM-BRGL04-DE-S,normal,76,1,75,0,1
FM-BRGL03-TR-XL,normal,162,1,161,0,1
FM-BRGL03-TR-L,normal,168,1,167,0,1
FM-BRGL03-TR-M,normal,35,1,34,0,1
FM-BRGL03-TR-S,normal,90,1,89,0,1
FM-BRGL03-DE-XL,normal,36,1,35,0,1
FM-BRGL03-DE-L,normal,263,1,262,0,1
FM-BRGL03-DE-M,normal,260,1,259,0,1
FM-BRGL03-DE-S,normal,15,1,14,0,1
FM-BRGL03-BN-XL,normal,213,1,212,0,1
FM-BRGL03-BN-L,normal,244,1,243,0,1
FM-BRGL03-BN-M,normal,365,1,364,0,1
FM-BRGL03-BN-S,normal,230,1,229,0,1
FM-ATGL01-TR-XL,normal,51,1,50,0,1
FM-ATGL01-TR-L,normal,24,1,23,0,1
FM-ATGL01-TR-S,normal,5,1,4,0,1
FM-ATGL01-DE-S,normal,0,1,-1,0,1
FM-ATGL01-HP-XL,normal,22,1,21,0,1
FM-ATGL01-HP-L,normal,-1,1,-2,0,1
FM-ATGL01-HP-S,normal,3,1,2,0,1
FM-QLKV01-P4-XL,normal,88,1,87,0,1
FM-QLKV01-P4-L,normal,120,1,119,0,1
FM-QLKV01-P4-M,normal,129,1,128,0,1
FM-QLKV01-P4-S,normal,151,1,150,0,1
FM-QNGL01-DG-L,normal,0,1,-1,0,1
FM-QNGL01-DG-XL,normal,0,1,-1,0,1
FM-QNGL01-BN-L,normal,0,1,-1,0,1
FM-QNGL01-BN-XL,normal,4,1,3,0,1
FM-QNGL01-DE-M,normal,-2,0,-2,0,0
FM-AKGL01-TR-L,normal,151,1,150,0,1
FM-AKGL01-TR-M,normal,282,1,281,0,1
FM-AKGL01-TR-S,normal,203,1,202,0,1
FM-AKGL01-TR-XL,normal,158,1,157,0,1
FM-AKGL01-DE-L,normal,167,1,166,0,1
FM-AKGL01-DE-M,normal,69,1,68,0,1
FM-AKGL01-DE-S,normal,28,1,27,0,1
FM-AKGL01-DE-XL,normal,84,1,83,0,1
FM-AKGL01-HP-L,normal,4,1,3,0,1
FM-AKGL01-HP-M,normal,81,1,80,0,1
FM-AKGL01-HP-S,normal,197,1,196,0,1
FM-AKGL01-HP-XL,normal,197,1,196,0,1
FM-ACTD01-BN-L,normal,51,1,50,0,1
FM-ACTD01-BN-M,normal,48,1,47,0,1
FM-ACTD01-BN-S,normal,24,1,23,0,1
FM-ACTD01-BN-XL,normal,25,1,24,0,1
FM-ACTD01-BE-L,normal,36,1,35,0,1
FM-ACTD01-BE-S,normal,4,1,3,0,1
