platform,issue_type,sku,sapo_available,platform_available
pancake,extra_on_platform,6686-2,,0
pancake,extra_on_platform,6687-2,,0
pancake,extra_on_platform,6729-2,,0
pancake,extra_on_platform,7046-2,,0
pancake,extra_on_platform,7053-2,,0
pancake,extra_on_platform,7054-2,,0
pancake,extra_on_platform,7055-2,,0
pancake,extra_on_platform,7058-2,,0
pancake,extra_on_platform,740-3,,0
pancake,extra_on_platform,741-3,,0
pancake,extra_on_platform,742-3,,0
pancake,extra_on_platform,743-3,,0
pancake,extra_on_platform,744-3,,0
pancake,extra_on_platform,745-3,,0
pancake,extra_on_platform,746-3,,0
pancake,extra_on_platform,747-3,,0
pancake,extra_on_platform,748-3,,0
pancake,extra_on_platform,749-3,,0
pancake,extra_on_platform,750-3,,0
pancake,extra_on_platform,751-3,,0
pancake,extra_on_platform,752-3,,0
pancake,extra_on_platform,753-3,,0
pancake,extra_on_platform,754-3,,0
pancake,extra_on_platform,7767-2,,0
pancake,extra_on_platform,7768-2,,0
pancake,extra_on_platform,7769-2,,0
pancake,extra_on_platform,7770-2,,0
pancake,extra_on_platform,7771-2,,0
pancake,extra_on_platform,7772-2,,0
pancake,extra_on_platform,7773-2,,0
pancake,extra_on_platform,7774-2,,0
pancake,extra_on_platform,7775-2,,0
pancake,extra_on_platform,7776-2,,0
pancake,extra_on_platform,7777-2,,0
pancake,extra_on_platform,7778-2,,0
pancake,extra_on_platform,7779-2,,0
pancake,extra_on_platform,7780-2,,0
pancake,extra_on_platform,7781-2,,0
pancake,extra_on_platform,7782-2,,0
pancake,extra_on_platform,7824-2,,0
pancake,extra_on_platform,7825-2,,0
pancake,extra_on_platform,7826-2,,0
pancake,extra_on_platform,7827-2,,0
pancake,extra_on_platform,7828-2,,0
pancake,extra_on_platform,7829-2,,0
pancake,extra_on_platform,7830-2,,0
pancake,extra_on_platform,7831-2,,0
pancake,extra_on_platform,7832-2,,0
pancake,extra_on_platform,7833-2,,0
pancake,extra_on_platform,7834-2,,0
pancake,extra_on_platform,7835-2,,0
pancake,extra_on_platform,7836-2,,0
pancake,extra_on_platform,7837-2,,0
pancake,extra_on_platform,7838-2,,0
pancake,extra_on_platform,7839-2,,0
pancake,extra_on_platform,7970-2,,0
pancake,extra_on_platform,7971-2,,0
pancake,extra_on_platform,7972-2,,0
pancake,extra_on_platform,8039-2,,0
pancake,extra_on_platform,8040-2,,0
pancake,extra_on_platform,8041-2,,0
pancake,extra_on_platform,8042-2,,0
pancake,extra_on_platform,8043-2,,0
pancake,extra_on_platform,8044-2,,0
pancake,extra_on_platform,8045-2,,0
pancake,extra_on_platform,8046-2,,0
pancake,extra_on_platform,8047-2,,0
pancake,extra_on_platform,8048-2,,0
pancake,extra_on_platform,8049-2,,0
pancake,extra_on_platform,8050-2,,0
pancake,extra_on_platform,812-3,,0
pancake,extra_on_platform,813-3,,0
pancake,extra_on_platform,814-3,,0
pancake,extra_on_platform,815-3,,0
pancake,extra_on_platform,816-3,,0
pancake,extra_on_platform,849-10,,0
pancake,extra_on_platform,849-11,,0
pancake,extra_on_platform,849-12,,0
pancake,extra_on_platform,849-9,,0
pancake,extra_on_platform,8535-2,,0
pancake,extra_on_platform,874-3,,0
pancake,extra_on_platform,875-3,,0
pancake,extra_on_platform,876-3,,0
pancake,extra_on_platform,877-3,,0
pancake,extra_on_platform,878-3,,0
pancake,extra_on_platform,879-3,,0
pancake,extra_on_platform,880-3,,0
pancake,extra_on_platform,881-3,,0
pancake,extra_on_platform,882-3,,0
pancake,extra_on_platform,883-3,,0
pancake,extra_on_platform,884-3,,0
