sku,status,diff_sapo_minus_pancake,sapo_available,pancake_available,sapo_remain,pancake_remain,sapo_name,pancake_name,sapo_variant_count,pancake_variant_count
FM-ATSP01-XR-L-FM-QDZT01-RG-XL,mismatch,-1,18,19,0,19,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-L-FM-VXLN01-TR-L,mismatch,-1,199,200,0,200,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-L-FM-VXLN01-TR-M,mismatch,-1,199,200,0,200,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-L-FM-VXLN01-TR-S,mismatch,-1,199,200,0,200,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-L-FM-VXLN01-TR-XL,mismatch,-1,199,200,0,200,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-M,mismatch,-1,124,125,0,125,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-M,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn chơi pickleball tennis đồ thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-M,1,1
FM-ATSP01-XR-M-FM-QDZT01-RG-2XL,matched,0,118,118,0,118,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-M-FM-QDZT01-RG-L,mismatch,-6,29,35,0,35,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-M-FM-QDZT01-RG-M,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-M-FM-QDZT01-RG-S,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-M-FM-QDZT01-RG-XL,mismatch,-1,18,19,0,19,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-M-FM-VXLN01-TR-L,mismatch,-1,124,125,0,125,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-M-FM-VXLN01-TR-M,mismatch,-1,124,125,0,125,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-M-FM-VXLN01-TR-S,mismatch,-1,124,125,0,125,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-M-FM-VXLN01-TR-XL,mismatch,-1,124,125,0,125,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-S,matched,0,236,236,0,236,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-S,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn chơi pickleball tennis đồ thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-S,1,1
FM-ATSP01-XR-S-FM-QDZT01-RG-2XL,matched,0,118,118,0,118,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-S-FM-QDZT01-RG-L,mismatch,-6,29,35,0,35,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-S-FM-QDZT01-RG-M,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-S-FM-QDZT01-RG-S,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-S-FM-QDZT01-RG-XL,mismatch,-1,18,19,0,19,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-S-FM-VXLN01-TR-L,matched,0,236,236,0,236,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-S-FM-VXLN01-TR-M,matched,0,236,236,0,236,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-S-FM-VXLN01-TR-S,matched,0,236,236,0,236,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-S-FM-VXLN01-TR-XL,mismatch,-2,223,225,0,225,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Simple Xanh rêu, chân váy xếp ly Trắng năng động","Bộ đồ Pickleball, cầu lông, tennis nữ Fitme áo áo thể thao Sigma Xanh rêu, chân váy xếp ly Trắng năng động VXLN01",1,1
FM-ATSP01-XR-XL,mismatch,-1,92,93,0,93,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-XL,Áo tập gym yoga nữ Fitme Simple thun basic cổ tròn chơi pickleball tennis đồ thoáng khí thấm hút tốt ATSP01#FM-ATSP01-XR-XL,1,1
FM-ATSP01-XR-XL-FM-QDZT01-RG-2XL,mismatch,-1,92,93,0,93,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-XL-FM-QDZT01-RG-L,mismatch,-6,29,35,0,35,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
FM-ATSP01-XR-XL-FM-QDZT01-RG-M,matched,0,0,0,0,0,"Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey","Bộ thể thao tập gym yoga Fitme áo thun Simple thấm thoáng khí Xanh Rêu, quần legging Zeta Rhino Grey",1,1
