sku,status,reason,action,sapoAvailable,pancakeAvailable,shopifyAvailable,sapoName,pancakeName,shopifyName
3648-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TN-L,
3649-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TN-M,
3650-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TN-S,
3651-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TN-XL,
3652-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TR-L,
3653-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TR-M,
3654-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TR-S,
3655-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TR-XL,
4569-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,[GIFT] Cam kết Fitme đồng hành cùng quá trình luyện tập thể thao tăng cường sức khỏe của bạn CKFM01,
4661-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4662-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4663-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4664-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4665-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4666-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4667-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4668-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
